Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,suboptimal,80,train,0.375,0.4841229182759271,29000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,29000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,29000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,30000,21
BC,suboptimal,80,test_100,0.2,0.4,30000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,30000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,31000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,31000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,31000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,32000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,32000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,32000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,33000,21
BC,suboptimal,80,test_100,0.2,0.4000000000000001,33000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,33000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,34000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,34000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,34000,21
BC,suboptimal,80,train,0.425,0.4943429983321297,35000,21
BC,suboptimal,80,test_100,0.2,0.4,35000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,35000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,36000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,36000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,36000,21
BC,suboptimal,80,train,0.425,0.4943429983321297,37000,21
BC,suboptimal,80,test_100,0.2,0.4,37000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,37000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,38000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,38000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,38000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,39000,21
BC,suboptimal,80,test_100,0.25,0.4330127018922193,39000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,39000,21
BC,suboptimal,80,train,0.425,0.4943429983321297,40000,21
BC,suboptimal,80,test_100,0.25,0.4330127018922193,40000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,40000,21
BC,suboptimal,80,train,0.3,0.4582575694955839,41000,21
BC,suboptimal,80,test_100,0.125,0.3307189138830738,41000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,41000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,42000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,42000,21
BC,suboptimal,80,test_0,0.2,0.4,42000,21
BC,suboptimal,80,train,0.3,0.4582575694955839,43000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,43000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,43000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,44000,21
BC,suboptimal,80,test_100,0.2,0.4,44000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,44000,21
BC,suboptimal,80,train,0.3,0.4582575694955839,45000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,45000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,45000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,46000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,46000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,46000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,47000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,47000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,47000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,48000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,48000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,48000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,49000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,49000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,49000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,50000,21
BC,suboptimal,80,test_100,0.25,0.4330127018922193,50000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,50000,21
