Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,mixed,80,train,0.0,0.0,0,20
BC,mixed,80,test_100,0.0,0.0,0,20
BC,mixed,80,test_0,0.0,0.0,0,20
BC,mixed,80,train,0.725,0.4465142774872938,1000,20
BC,mixed,80,test_100,0.325,0.4683748498798799,1000,20
BC,mixed,80,test_0,0.275,0.4465142774872938,1000,20
BC,mixed,80,train,0.65,0.4769696007084729,2000,20
BC,mixed,80,test_100,0.275,0.4465142774872938,2000,20
BC,mixed,80,test_0,0.275,0.4465142774872938,2000,20
BC,mixed,80,train,0.675,0.4683748498798798,3000,20
BC,mixed,80,test_100,0.35,0.4769696007084728,3000,20
BC,mixed,80,test_0,0.275,0.4465142774872938,3000,20
BC,mixed,80,train,0.725,0.4465142774872938,4000,20
BC,mixed,80,test_100,0.325,0.4683748498798799,4000,20
BC,mixed,80,test_0,0.25,0.4330127018922193,4000,20
BC,mixed,80,train,0.675,0.4683748498798798,5000,20
BC,mixed,80,test_100,0.3,0.4582575694955839,5000,20
BC,mixed,80,test_0,0.225,0.4175823272122516,5000,20
BC,mixed,80,train,0.6,0.4898979485566356,6000,20
BC,mixed,80,test_100,0.325,0.4683748498798799,6000,20
BC,mixed,80,test_0,0.25,0.4330127018922193,6000,20
BC,mixed,80,train,0.675,0.4683748498798798,7000,20
BC,mixed,80,test_100,0.35,0.4769696007084728,7000,20
BC,mixed,80,test_0,0.3,0.4582575694955839,7000,20
BC,mixed,80,train,0.725,0.4465142774872938,8000,20
BC,mixed,80,test_100,0.375,0.4841229182759271,8000,20
BC,mixed,80,test_0,0.2,0.4000000000000001,8000,20
BC,mixed,80,train,0.75,0.4330127018922193,9000,20
BC,mixed,80,test_100,0.375,0.4841229182759271,9000,20
BC,mixed,80,test_0,0.275,0.4465142774872938,9000,20
BC,mixed,80,train,0.65,0.4769696007084728,10000,20
BC,mixed,80,test_100,0.325,0.4683748498798799,10000,20
BC,mixed,80,test_0,0.25,0.4330127018922193,10000,20
BC,mixed,80,train,0.7,0.458257569495584,11000,20
BC,mixed,80,test_100,0.325,0.4683748498798799,11000,20
