Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,optimal,40,train,0.0,0.0,0,21
BC,optimal,40,test_100,0.0,0.0,0,21
BC,optimal,40,test_0,0.0,0.0,0,21
BC,optimal,40,train,1.0,0.0,1000,21
BC,optimal,40,test_100,0.325,0.4683748498798799,1000,21
BC,optimal,40,test_0,0.225,0.4175823272122517,1000,21
BC,optimal,40,train,1.0,0.0,2000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,2000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,2000,21
BC,optimal,40,train,1.0,0.0,3000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,3000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,3000,21
BC,optimal,40,train,1.0,0.0,4000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,4000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,4000,21
BC,optimal,40,train,1.0,0.0,5000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,5000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,5000,21
BC,optimal,40,train,1.0,0.0,6000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,6000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,6000,21
BC,optimal,40,train,1.0,0.0,7000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,7000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,7000,21
BC,optimal,40,train,1.0,0.0,8000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,8000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,8000,21
BC,optimal,40,train,1.0,0.0,9000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,9000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,9000,21
BC,optimal,40,train,1.0,0.0,10000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,10000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,10000,21
BC,optimal,40,train,1.0,0.0,11000,21
BC,optimal,40,test_100,0.3,0.4582575694955839,11000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,11000,21
BC,optimal,40,train,1.0,0.0,12000,21
BC,optimal,40,test_100,0.3,0.4582575694955839,12000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,12000,21
BC,optimal,40,train,1.0,0.0,13000,21
BC,optimal,40,test_100,0.3,0.4582575694955839,13000,21
BC,optimal,40,test_0,0.175,0.3799671038392666,13000,21
BC,optimal,40,train,1.0,0.0,14000,21
BC,optimal,40,test_100,0.3,0.4582575694955839,14000,21
BC,optimal,40,test_0,0.175,0.3799671038392666,14000,21
BC,optimal,40,train,1.0,0.0,15000,21
BC,optimal,40,test_100,0.3,0.4582575694955839,15000,21
BC,optimal,40,test_0,0.175,0.3799671038392666,15000,21
BC,optimal,40,train,1.0,0.0,16000,21
BC,optimal,40,test_100,0.3,0.4582575694955839,16000,21
BC,optimal,40,test_0,0.2,0.4000000000000001,16000,21
BC,optimal,40,train,1.0,0.0,17000,21
BC,optimal,40,test_100,0.275,0.4465142774872938,17000,21
