Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,suboptimal,80,train,0.0,0.0,0,22
BC,suboptimal,80,test_100,0.0,0.0,0,22
BC,suboptimal,80,test_0,0.0,0.0,0,22
BC,suboptimal,80,train,0.225,0.4175823272122517,1000,22
BC,suboptimal,80,test_100,0.125,0.3307189138830738,1000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,1000,22
BC,suboptimal,80,train,0.325,0.4683748498798799,2000,22
BC,suboptimal,80,test_100,0.2,0.4,2000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,2000,22
BC,suboptimal,80,train,0.35,0.4769696007084729,3000,22
BC,suboptimal,80,test_100,0.125,0.3307189138830738,3000,22
BC,suboptimal,80,test_0,0.175,0.3799671038392666,3000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,4000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,4000,22
BC,suboptimal,80,test_0,0.175,0.3799671038392666,4000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,5000,22
BC,suboptimal,80,test_100,0.225,0.4175823272122516,5000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,5000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,6000,22
BC,suboptimal,80,test_100,0.2,0.4000000000000001,6000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,6000,22
BC,suboptimal,80,train,0.275,0.4465142774872938,7000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,7000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,7000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,8000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,8000,22
BC,suboptimal,80,test_0,0.175,0.3799671038392666,8000,22
BC,suboptimal,80,train,0.4,0.4898979485566356,9000,22
BC,suboptimal,80,test_100,0.2,0.4000000000000001,9000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,9000,22
BC,suboptimal,80,train,0.35,0.4769696007084729,10000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,10000,22
BC,suboptimal,80,test_0,0.1,0.3,10000,22
BC,suboptimal,80,train,0.3,0.4582575694955839,11000,22
BC,suboptimal,80,test_100,0.225,0.4175823272122516,11000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,11000,22
BC,suboptimal,80,train,0.35,0.4769696007084729,12000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,12000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,12000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,13000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,13000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,13000,22
BC,suboptimal,80,train,0.3,0.4582575694955839,14000,22
BC,suboptimal,80,test_100,0.2,0.4000000000000001,14000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,14000,22
BC,suboptimal,80,train,0.4,0.4898979485566356,15000,22
BC,suboptimal,80,test_100,0.25,0.4330127018922193,15000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,15000,22
BC,suboptimal,80,train,0.425,0.4943429983321297,16000,22
BC,suboptimal,80,test_100,0.275,0.4465142774872938,16000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,16000,22
BC,suboptimal,80,train,0.35,0.4769696007084729,17000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,17000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,17000,22
BC,suboptimal,80,train,0.3,0.4582575694955839,18000,22
BC,suboptimal,80,test_100,0.2,0.4,18000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,18000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,19000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,19000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,19000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,20000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,20000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,20000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,21000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,21000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,21000,22
BC,suboptimal,80,train,0.35,0.4769696007084729,22000,22
BC,suboptimal,80,test_100,0.2,0.4000000000000001,22000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,22000,22
BC,suboptimal,80,train,0.4,0.4898979485566356,23000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,23000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,23000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,24000,22
BC,suboptimal,80,test_100,0.2,0.4,24000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,24000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,25000,22
BC,suboptimal,80,test_100,0.225,0.4175823272122516,25000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,25000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,26000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,26000,22
BC,suboptimal,80,test_0,0.1,0.3,26000,22
BC,suboptimal,80,train,0.4,0.4898979485566356,27000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,27000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,27000,22
BC,suboptimal,80,train,0.425,0.4943429983321297,28000,22
BC,suboptimal,80,test_100,0.2,0.4,28000,22
BC,suboptimal,80,test_0,0.1,0.3,28000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,29000,22
BC,suboptimal,80,test_100,0.175,0.3799671038392666,29000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,29000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,30000,22
BC,suboptimal,80,test_100,0.2,0.4,30000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,30000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,31000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,31000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,31000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,32000,22
BC,suboptimal,80,test_100,0.15,0.3570714214271425,32000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,32000,22
BC,suboptimal,80,train,0.4,0.4898979485566356,33000,22
BC,suboptimal,80,test_100,0.325,0.4683748498798799,33000,22
BC,suboptimal,80,test_0,0.175,0.3799671038392666,33000,22
BC,suboptimal,80,train,0.425,0.4943429983321297,34000,22
BC,suboptimal,80,test_100,0.225,0.4175823272122516,34000,22
BC,suboptimal,80,test_0,0.125,0.3307189138830738,34000,22
BC,suboptimal,80,train,0.35,0.4769696007084728,35000,22
BC,suboptimal,80,test_100,0.2,0.4000000000000001,35000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,35000,22
BC,suboptimal,80,train,0.375,0.4841229182759271,36000,22
BC,suboptimal,80,test_100,0.2,0.4000000000000001,36000,22
BC,suboptimal,80,test_0,0.15,0.3570714214271425,36000,22
BC,suboptimal,80,train,0.425,0.4943429983321297,37000,22
