Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,optimal,40,train,0.0,0.0,0,24
BC,optimal,40,test_100,0.0,0.0,0,24
BC,optimal,40,test_0,0.0,0.0,0,24
BC,optimal,40,train,1.0,0.0,1000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,1000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,1000,24
BC,optimal,40,train,1.0,0.0,2000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,2000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,2000,24
BC,optimal,40,train,1.0,0.0,3000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,3000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,3000,24
BC,optimal,40,train,1.0,0.0,4000,24
BC,optimal,40,test_100,0.35,0.4769696007084728,4000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,4000,24
BC,optimal,40,train,1.0,0.0,5000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,5000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,5000,24
BC,optimal,40,train,1.0,0.0,6000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,6000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,6000,24
BC,optimal,40,train,1.0,0.0,7000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,7000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,7000,24
BC,optimal,40,train,1.0,0.0,8000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,8000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,8000,24
BC,optimal,40,train,1.0,0.0,9000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,9000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,9000,24
BC,optimal,40,train,1.0,0.0,10000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,10000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,10000,24
BC,optimal,40,train,1.0,0.0,11000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,11000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,11000,24
BC,optimal,40,train,1.0,0.0,12000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,12000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,12000,24
BC,optimal,40,train,1.0,0.0,13000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,13000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,13000,24
BC,optimal,40,train,1.0,0.0,14000,24
BC,optimal,40,test_100,0.325,0.4683748498798799,14000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,14000,24
BC,optimal,40,train,1.0,0.0,15000,24
BC,optimal,40,test_100,0.3,0.4582575694955839,15000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,15000,24
BC,optimal,40,train,1.0,0.0,16000,24
BC,optimal,40,test_100,0.3,0.4582575694955839,16000,24
BC,optimal,40,test_0,0.25,0.4330127018922193,16000,24
BC,optimal,40,train,1.0,0.0,17000,24
