Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,suboptimal,80,train,0.0,0.0,0,23
BC,suboptimal,80,test_100,0.0,0.0,0,23
BC,suboptimal,80,test_0,0.0,0.0,0,23
BC,suboptimal,80,train,0.175,0.3799671038392666,1000,23
BC,suboptimal,80,test_100,0.125,0.3307189138830738,1000,23
BC,suboptimal,80,test_0,0.1,0.3,1000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,2000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,2000,23
BC,suboptimal,80,test_0,0.15,0.3570714214271425,2000,23
BC,suboptimal,80,train,0.4,0.4898979485566356,3000,23
BC,suboptimal,80,test_100,0.175,0.3799671038392666,3000,23
BC,suboptimal,80,test_0,0.175,0.3799671038392666,3000,23
BC,suboptimal,80,train,0.425,0.4943429983321297,4000,23
BC,suboptimal,80,test_100,0.2,0.4,4000,23
BC,suboptimal,80,test_0,0.1,0.3,4000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,5000,23
BC,suboptimal,80,test_100,0.125,0.3307189138830738,5000,23
BC,suboptimal,80,test_0,0.175,0.3799671038392666,5000,23
BC,suboptimal,80,train,0.4,0.4898979485566356,6000,23
BC,suboptimal,80,test_100,0.2,0.4000000000000001,6000,23
BC,suboptimal,80,test_0,0.2,0.4,6000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,7000,23
BC,suboptimal,80,test_100,0.125,0.3307189138830738,7000,23
BC,suboptimal,80,test_0,0.2,0.4000000000000001,7000,23
BC,suboptimal,80,train,0.3,0.4582575694955839,8000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,8000,23
BC,suboptimal,80,test_0,0.175,0.3799671038392666,8000,23
BC,suboptimal,80,train,0.4,0.4898979485566356,9000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,9000,23
BC,suboptimal,80,test_0,0.175,0.3799671038392666,9000,23
BC,suboptimal,80,train,0.35,0.4769696007084728,10000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,10000,23
BC,suboptimal,80,test_0,0.15,0.3570714214271425,10000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,11000,23
BC,suboptimal,80,test_100,0.125,0.3307189138830738,11000,23
BC,suboptimal,80,test_0,0.125,0.3307189138830738,11000,23
BC,suboptimal,80,train,0.4,0.4898979485566356,12000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,12000,23
BC,suboptimal,80,test_0,0.175,0.3799671038392666,12000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,13000,23
BC,suboptimal,80,test_100,0.2,0.4,13000,23
BC,suboptimal,80,test_0,0.075,0.2633913438213184,13000,23
BC,suboptimal,80,train,0.325,0.4683748498798799,14000,23
BC,suboptimal,80,test_100,0.175,0.3799671038392666,14000,23
BC,suboptimal,80,test_0,0.125,0.3307189138830738,14000,23
BC,suboptimal,80,train,0.45,0.49749371855331,15000,23
BC,suboptimal,80,test_100,0.25,0.4330127018922193,15000,23
BC,suboptimal,80,test_0,0.125,0.3307189138830738,15000,23
BC,suboptimal,80,train,0.25,0.4330127018922193,16000,23
BC,suboptimal,80,test_100,0.2,0.4,16000,23
BC,suboptimal,80,test_0,0.1,0.3,16000,23
BC,suboptimal,80,train,0.4,0.4898979485566356,17000,23
BC,suboptimal,80,test_100,0.175,0.3799671038392666,17000,23
BC,suboptimal,80,test_0,0.1,0.3,17000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,18000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,18000,23
BC,suboptimal,80,test_0,0.125,0.3307189138830738,18000,23
BC,suboptimal,80,train,0.35,0.4769696007084728,19000,23
BC,suboptimal,80,test_100,0.15,0.3570714214271425,19000,23
BC,suboptimal,80,test_0,0.125,0.3307189138830738,19000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,20000,23
BC,suboptimal,80,test_100,0.175,0.3799671038392666,20000,23
BC,suboptimal,80,test_0,0.15,0.3570714214271425,20000,23
BC,suboptimal,80,train,0.3,0.4582575694955839,21000,23
BC,suboptimal,80,test_100,0.2,0.4,21000,23
BC,suboptimal,80,test_0,0.1,0.3,21000,23
BC,suboptimal,80,train,0.3,0.4582575694955839,22000,23
BC,suboptimal,80,test_100,0.2,0.4000000000000001,22000,23
BC,suboptimal,80,test_0,0.15,0.3570714214271425,22000,23
BC,suboptimal,80,train,0.325,0.4683748498798799,23000,23
BC,suboptimal,80,test_100,0.225,0.4175823272122516,23000,23
BC,suboptimal,80,test_0,0.125,0.3307189138830738,23000,23
BC,suboptimal,80,train,0.375,0.4841229182759271,24000,23
BC,suboptimal,80,test_100,0.225,0.4175823272122517,24000,23
BC,suboptimal,80,test_0,0.15,0.3570714214271425,24000,23
BC,suboptimal,80,train,0.35,0.4769696007084729,25000,23
BC,suboptimal,80,test_100,0.175,0.3799671038392666,25000,23
