Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,mixed,80,train,0.0,0.0,0,21
BC,mixed,80,test_100,0.0,0.0,0,21
BC,mixed,80,test_0,0.0,0.0,0,21
BC,mixed,80,train,0.725,0.4465142774872938,1000,21
BC,mixed,80,test_100,0.35,0.4769696007084729,1000,21
BC,mixed,80,test_0,0.2,0.4,1000,21
BC,mixed,80,train,0.825,0.3799671038392666,2000,21
BC,mixed,80,test_100,0.325,0.4683748498798799,2000,21
BC,mixed,80,test_0,0.225,0.4175823272122516,2000,21
BC,mixed,80,train,0.7,0.458257569495584,3000,21
BC,mixed,80,test_100,0.3,0.4582575694955839,3000,21
BC,mixed,80,test_0,0.2,0.4000000000000001,3000,21
BC,mixed,80,train,0.7,0.458257569495584,4000,21
BC,mixed,80,test_100,0.3,0.4582575694955839,4000,21
BC,mixed,80,test_0,0.175,0.3799671038392666,4000,21
BC,mixed,80,train,0.75,0.4330127018922193,5000,21
BC,mixed,80,test_100,0.35,0.4769696007084729,5000,21
BC,mixed,80,test_0,0.275,0.4465142774872938,5000,21
BC,mixed,80,train,0.725,0.4465142774872938,6000,21
BC,mixed,80,test_100,0.25,0.4330127018922193,6000,21
BC,mixed,80,test_0,0.225,0.4175823272122516,6000,21
BC,mixed,80,train,0.75,0.4330127018922193,7000,21
BC,mixed,80,test_100,0.4,0.4898979485566356,7000,21
BC,mixed,80,test_0,0.275,0.4465142774872938,7000,21
BC,mixed,80,train,0.75,0.4330127018922193,8000,21
BC,mixed,80,test_100,0.375,0.4841229182759271,8000,21
BC,mixed,80,test_0,0.2,0.4000000000000001,8000,21
BC,mixed,80,train,0.65,0.4769696007084728,9000,21
BC,mixed,80,test_100,0.3,0.4582575694955839,9000,21
BC,mixed,80,test_0,0.2,0.4,9000,21
BC,mixed,80,train,0.625,0.4841229182759271,10000,21
BC,mixed,80,test_100,0.35,0.4769696007084729,10000,21
BC,mixed,80,test_0,0.225,0.4175823272122516,10000,21
BC,mixed,80,train,0.7,0.458257569495584,11000,21
BC,mixed,80,test_100,0.425,0.4943429983321297,11000,21
BC,mixed,80,test_0,0.3,0.4582575694955839,11000,21
BC,mixed,80,train,0.75,0.4330127018922193,12000,21
BC,mixed,80,test_100,0.3,0.4582575694955839,12000,21
BC,mixed,80,test_0,0.25,0.4330127018922193,12000,21
BC,mixed,80,train,0.6,0.4898979485566356,13000,21
BC,mixed,80,test_100,0.3,0.4582575694955839,13000,21
BC,mixed,80,test_0,0.225,0.4175823272122516,13000,21
BC,mixed,80,train,0.65,0.4769696007084728,14000,21
BC,mixed,80,test_100,0.325,0.4683748498798799,14000,21
BC,mixed,80,test_0,0.15,0.3570714214271425,14000,21
BC,mixed,80,train,0.8,0.4,15000,21
BC,mixed,80,test_100,0.375,0.4841229182759271,15000,21
BC,mixed,80,test_0,0.275,0.4465142774872938,15000,21
BC,mixed,80,train,0.725,0.4465142774872938,16000,21
BC,mixed,80,test_100,0.3,0.4582575694955839,16000,21
BC,mixed,80,test_0,0.15,0.3570714214271425,16000,21
BC,mixed,80,train,0.7,0.458257569495584,17000,21
