Algorithm,Environment,Reward_mean,Reward_std,Steps,Seed
SAC,train,0.0,0.0,50,1
SAC,test_100,0.0,0.0,50,1
SAC,test_0,0.0,0.0,50,1
SAC,train,0.0,0.0,100,1
SAC,test_100,0.0,0.0,100,1
SAC,test_0,0.0,0.0,100,1
SAC,train,0.0,0.0,150,1
SAC,test_100,0.0,0.0,150,1
SAC,test_0,0.0,0.0,150,1
SAC,train,0.0,0.0,200,1
SAC,test_100,0.0,0.0,200,1
SAC,test_0,0.0,0.0,200,1
