Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,suboptimal,80,train,0.0,0.0,0,20
BC,suboptimal,80,test_100,0.0,0.0,0,20
BC,suboptimal,80,test_0,0.0,0.0,0,20
BC,suboptimal,80,train,0.3,0.4582575694955839,1000,20
BC,suboptimal,80,test_100,0.15,0.3570714214271425,1000,20
BC,suboptimal,80,test_0,0.125,0.3307189138830738,1000,20
BC,suboptimal,80,train,0.375,0.4841229182759271,2000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,2000,20
BC,suboptimal,80,test_0,0.15,0.3570714214271425,2000,20
BC,suboptimal,80,train,0.35,0.4769696007084728,3000,20
BC,suboptimal,80,test_100,0.125,0.3307189138830738,3000,20
BC,suboptimal,80,test_0,0.15,0.3570714214271425,3000,20
BC,suboptimal,80,train,0.375,0.4841229182759271,4000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,4000,20
BC,suboptimal,80,test_0,0.1,0.3,4000,20
BC,suboptimal,80,train,0.375,0.4841229182759271,5000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,5000,20
BC,suboptimal,80,test_0,0.175,0.3799671038392666,5000,20
BC,suboptimal,80,train,0.35,0.4769696007084729,6000,20
BC,suboptimal,80,test_100,0.2,0.4000000000000001,6000,20
BC,suboptimal,80,test_0,0.2,0.4000000000000001,6000,20
BC,suboptimal,80,train,0.3,0.4582575694955839,7000,20
BC,suboptimal,80,test_100,0.225,0.4175823272122516,7000,20
BC,suboptimal,80,test_0,0.125,0.3307189138830738,7000,20
BC,suboptimal,80,train,0.425,0.4943429983321297,8000,20
BC,suboptimal,80,test_100,0.125,0.3307189138830738,8000,20
BC,suboptimal,80,test_0,0.075,0.2633913438213184,8000,20
BC,suboptimal,80,train,0.475,0.4993746088859544,9000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,9000,20
BC,suboptimal,80,test_0,0.175,0.3799671038392666,9000,20
BC,suboptimal,80,train,0.325,0.4683748498798799,10000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,10000,20
BC,suboptimal,80,test_0,0.1,0.3,10000,20
BC,suboptimal,80,train,0.35,0.4769696007084729,11000,20
BC,suboptimal,80,test_100,0.1,0.3,11000,20
BC,suboptimal,80,test_0,0.125,0.3307189138830738,11000,20
BC,suboptimal,80,train,0.3,0.4582575694955839,12000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,12000,20
BC,suboptimal,80,test_0,0.15,0.3570714214271425,12000,20
BC,suboptimal,80,train,0.375,0.4841229182759271,13000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,13000,20
BC,suboptimal,80,test_0,0.125,0.3307189138830738,13000,20
BC,suboptimal,80,train,0.35,0.4769696007084728,14000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,14000,20
BC,suboptimal,80,test_0,0.1,0.3,14000,20
BC,suboptimal,80,train,0.35,0.4769696007084729,15000,20
BC,suboptimal,80,test_100,0.1,0.3,15000,20
BC,suboptimal,80,test_0,0.15,0.3570714214271425,15000,20
BC,suboptimal,80,train,0.3,0.4582575694955839,16000,20
BC,suboptimal,80,test_100,0.15,0.3570714214271425,16000,20
BC,suboptimal,80,test_0,0.125,0.3307189138830738,16000,20
BC,suboptimal,80,train,0.475,0.4993746088859544,17000,20
BC,suboptimal,80,test_100,0.175,0.3799671038392666,17000,20
BC,suboptimal,80,test_0,0.175,0.3799671038392666,17000,20
BC,suboptimal,80,train,0.325,0.4683748498798799,18000,20
BC,suboptimal,80,test_100,0.125,0.3307189138830738,18000,20
BC,suboptimal,80,test_0,0.15,0.3570714214271425,18000,20
BC,suboptimal,80,train,0.325,0.4683748498798799,19000,20
