Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,mixed,80,train,0.0,0.0,0,24
BC,mixed,80,test_100,0.0,0.0,0,24
BC,mixed,80,test_0,0.0,0.0,0,24
BC,mixed,80,train,0.725,0.4465142774872938,1000,24
BC,mixed,80,test_100,0.325,0.4683748498798799,1000,24
BC,mixed,80,test_0,0.175,0.3799671038392666,1000,24
BC,mixed,80,train,0.725,0.4465142774872938,2000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,2000,24
BC,mixed,80,test_0,0.275,0.4465142774872938,2000,24
BC,mixed,80,train,0.7,0.458257569495584,3000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,3000,24
BC,mixed,80,test_0,0.25,0.4330127018922193,3000,24
BC,mixed,80,train,0.675,0.4683748498798798,4000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,4000,24
BC,mixed,80,test_0,0.2,0.4,4000,24
BC,mixed,80,train,0.625,0.4841229182759271,5000,24
BC,mixed,80,test_100,0.3,0.4582575694955839,5000,24
BC,mixed,80,test_0,0.225,0.4175823272122517,5000,24
BC,mixed,80,train,0.75,0.4330127018922193,6000,24
BC,mixed,80,test_100,0.4,0.4898979485566356,6000,24
BC,mixed,80,test_0,0.225,0.4175823272122516,6000,24
BC,mixed,80,train,0.675,0.4683748498798798,7000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,7000,24
BC,mixed,80,test_0,0.25,0.4330127018922193,7000,24
BC,mixed,80,train,0.625,0.4841229182759271,8000,24
BC,mixed,80,test_100,0.3,0.4582575694955839,8000,24
BC,mixed,80,test_0,0.175,0.3799671038392666,8000,24
BC,mixed,80,train,0.65,0.4769696007084728,9000,24
BC,mixed,80,test_100,0.35,0.4769696007084729,9000,24
BC,mixed,80,test_0,0.25,0.4330127018922193,9000,24
BC,mixed,80,train,0.625,0.4841229182759271,10000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,10000,24
BC,mixed,80,test_0,0.225,0.4175823272122517,10000,24
BC,mixed,80,train,0.725,0.4465142774872938,11000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,11000,24
BC,mixed,80,test_0,0.3,0.458257569495584,11000,24
BC,mixed,80,train,0.725,0.4465142774872938,12000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,12000,24
BC,mixed,80,test_0,0.25,0.4330127018922193,12000,24
BC,mixed,80,train,0.725,0.4465142774872938,13000,24
BC,mixed,80,test_100,0.35,0.4769696007084728,13000,24
BC,mixed,80,test_0,0.325,0.4683748498798799,13000,24
BC,mixed,80,train,0.65,0.4769696007084728,14000,24
BC,mixed,80,test_100,0.425,0.4943429983321297,14000,24
BC,mixed,80,test_0,0.3,0.4582575694955839,14000,24
BC,mixed,80,train,0.7,0.458257569495584,15000,24
BC,mixed,80,test_100,0.325,0.4683748498798799,15000,24
BC,mixed,80,test_0,0.275,0.4465142774872938,15000,24
BC,mixed,80,train,0.675,0.4683748498798798,16000,24
BC,mixed,80,test_100,0.4,0.4898979485566356,16000,24
BC,mixed,80,test_0,0.275,0.4465142774872938,16000,24
BC,mixed,80,train,0.625,0.4841229182759271,17000,24
BC,mixed,80,test_100,0.375,0.4841229182759271,17000,24
BC,mixed,80,test_0,0.325,0.4683748498798799,17000,24
