Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,mixed,80,test_0,0.225,0.4175823272122516,30000,22
BC,mixed,80,train,0.7,0.458257569495584,31000,22
BC,mixed,80,test_100,0.4,0.4898979485566356,31000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,31000,22
BC,mixed,80,train,0.7,0.458257569495584,32000,22
BC,mixed,80,test_100,0.425,0.4943429983321297,32000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,32000,22
BC,mixed,80,train,0.7,0.458257569495584,33000,22
BC,mixed,80,test_100,0.425,0.4943429983321297,33000,22
BC,mixed,80,test_0,0.25,0.4330127018922193,33000,22
BC,mixed,80,train,0.75,0.4330127018922193,34000,22
BC,mixed,80,test_100,0.425,0.4943429983321297,34000,22
BC,mixed,80,test_0,0.25,0.4330127018922193,34000,22
BC,mixed,80,train,0.675,0.4683748498798798,35000,22
BC,mixed,80,test_100,0.4,0.4898979485566356,35000,22
BC,mixed,80,test_0,0.225,0.4175823272122516,35000,22
BC,mixed,80,train,0.7,0.458257569495584,36000,22
BC,mixed,80,test_100,0.35,0.4769696007084728,36000,22
BC,mixed,80,test_0,0.225,0.4175823272122516,36000,22
BC,mixed,80,train,0.625,0.4841229182759271,37000,22
BC,mixed,80,test_100,0.4,0.4898979485566356,37000,22
BC,mixed,80,test_0,0.225,0.4175823272122516,37000,22
BC,mixed,80,train,0.725,0.4465142774872938,38000,22
BC,mixed,80,test_100,0.45,0.49749371855331,38000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,38000,22
BC,mixed,80,train,0.8,0.4,39000,22
BC,mixed,80,test_100,0.425,0.4943429983321297,39000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,39000,22
BC,mixed,80,train,0.675,0.4683748498798798,40000,22
BC,mixed,80,test_100,0.35,0.4769696007084728,40000,22
BC,mixed,80,test_0,0.2,0.4000000000000001,40000,22
BC,mixed,80,train,0.625,0.4841229182759271,41000,22
BC,mixed,80,test_100,0.375,0.4841229182759271,41000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,41000,22
BC,mixed,80,train,0.775,0.4175823272122517,42000,22
BC,mixed,80,test_100,0.425,0.4943429983321297,42000,22
BC,mixed,80,test_0,0.225,0.4175823272122516,42000,22
BC,mixed,80,train,0.7,0.458257569495584,43000,22
BC,mixed,80,test_100,0.4,0.4898979485566356,43000,22
BC,mixed,80,test_0,0.25,0.4330127018922193,43000,22
BC,mixed,80,train,0.675,0.4683748498798798,44000,22
BC,mixed,80,test_100,0.475,0.4993746088859545,44000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,44000,22
BC,mixed,80,train,0.65,0.4769696007084729,45000,22
BC,mixed,80,test_100,0.4,0.4898979485566356,45000,22
BC,mixed,80,test_0,0.25,0.4330127018922193,45000,22
BC,mixed,80,train,0.75,0.4330127018922193,46000,22
BC,mixed,80,test_100,0.4,0.4898979485566356,46000,22
BC,mixed,80,test_0,0.3,0.4582575694955839,46000,22
BC,mixed,80,train,0.7,0.458257569495584,47000,22
BC,mixed,80,test_100,0.35,0.4769696007084729,47000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,47000,22
BC,mixed,80,train,0.75,0.4330127018922193,48000,22
BC,mixed,80,test_100,0.425,0.4943429983321297,48000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,48000,22
BC,mixed,80,train,0.65,0.4769696007084729,49000,22
BC,mixed,80,test_100,0.375,0.4841229182759271,49000,22
BC,mixed,80,test_0,0.25,0.4330127018922193,49000,22
BC,mixed,80,train,0.7,0.458257569495584,50000,22
BC,mixed,80,test_100,0.325,0.4683748498798799,50000,22
BC,mixed,80,test_0,0.275,0.4465142774872938,50000,22
